id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h,historical_trends,sentiment_score,macroeconomic_indicator
solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,91387.0,1218167354.0,94.0,1228192295.0,11205135.0,95411.0,91381.0,-2658.8156024261552,-2.82716,-39558715.1516099,-3.14526,13327.94444437954,13437.62712533584,21000000.0,107779.0,-14.94404,2024-12-17T14:52:38.152Z,49058.0,86.86688,2024-08-05T06:28:45.311Z,,2025-01-13T11:19:35.011Z,,10000000.0,38369.312138025154,0.5,1.0
tezos,xtz,Tezos,https://coin-images.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,1.18,1212231743.0,95.0,1236277876.0,66569394.0,1.29,1.18,-0.0803984679409879,-6.3564,-80778700.23789644,-6.24734,1024352910.572343,1044672232.27194,,9.12,-86.99901,2021-10-04T00:41:18.025Z,0.350476,238.16256,2018-12-07T00:00:00.000Z,"{'times': 1.5200933832180554, 'currency': 'usd', 'percentage': 152.00933832180553}",2025-01-13T11:19:36.642Z,,10000000.0,14175.384880796802,0.5,1.0
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.018,1199978867.0,96.0,1199978867.0,67068.0,1.051,1.004,-0.0088232708047153,-0.85916,16607849.0,1.40344,1178701185.484453,1178701185.484453,,1.061,-3.75246,2025-01-03T16:26:00.877Z,0.961716,6.18415,2025-01-04T01:21:08.460Z,,2025-01-13T11:19:35.875Z,,10000000.0,21234.60378367833,0.5,1.0
nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.19,1187719112.0,97.0,1187719112.0,5596077.0,1.28,1.19,-0.0792630730341972,-6.2558,-78814540.93636012,-6.22285,1000000000.0,1000000000.0,1000000000.0,4.07,-70.67021,2021-05-12T14:37:47.535Z,0.04515276,2542.42341,2018-09-13T00:00:00.000Z,"{'times': 10.87769852837702, 'currency': 'usd', 'percentage': 1087.769852837702}",2025-01-13T11:19:42.685Z,,10000000.0,36752.30172445305,0.5,1.0
maker,mkr,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1322.74,1178147384.0,98.0,1216635691.0,114820998.0,1446.44,1321.69,-105.67998793667788,-7.3984,-96500585.7597003,-7.57076,891489.6296030727,920613.2580815332,1005577.0,6292.31,-78.86208,2021-05-03T21:54:29.333Z,168.36,690.02359,2020-03-16T20:52:36.527Z,,2025-01-13T11:19:41.962Z,,10000000.0,45191.59450971177,0.5,1.0
kaia,kaia,Kaia,https://coin-images.coingecko.com/coins/images/39901/large/KAIA.png?1724734368,0.193308,1132589319.0,99.0,1132589356.0,29003123.0,0.213356,0.193255,-0.0175719163917539,-8.33266,-102459238.15345047,-8.29597,5856641747.106198,5856641936.044253,,0.406698,-52.25329,2024-12-03T00:11:32.242Z,0.113064,71.74827,2024-11-04T21:46:05.335Z,,2025-01-13T11:19:41.134Z,,10000000.0,11168.162707615777,0.5,1.0
ai16z,ai16z,ai16z,https://coin-images.coingecko.com/coins/images/51090/large/AI16Z.jpg?1730027175,1.029,1132311515.0,100.0,1132311515.0,486015821.0,1.17,1.016,-0.1314832180390357,-11.32641,-137099033.67837882,-10.80021,1099999315.067043,1099999315.067043,1099999958.01,2.47,-58.16045,2025-01-02T06:51:36.053Z,0.010189,10022.58362,2024-11-03T15:09:23.068Z,,2025-01-13T11:19:42.553Z,,10000000.0,21095.71465479103,0.5,1.0
,BTC,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,"$ 91,536.3",10000000.0,13474.580365249698,0.5,1.0
,ETH,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,"$ 3,114.91",10000000.0,12010.323344134522,0.5,1.0
,XRP,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 2.41,10000000.0,47004.28621130164,0.5,1.0
