time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,lag_1,lag_2,lag_3,lag_4,lag_5
2023-03-15T00:00:00.0000000Z,2023-03-16T00:00:00.0000000Z,2023-03-15T00:00:03.1400000Z,2023-03-15T23:59:58.1930000Z,1704.3,1721.8,1614.8,1656.7,18384.40779069,12743,1704.6,1679.9,1591.4,1484.0,1431.5
2023-03-16T00:00:00.0000000Z,2023-03-17T00:00:00.0000000Z,2023-03-16T00:00:19.7340000Z,2023-03-16T23:59:39.6310000Z,1656.6,1693.7,1638.2,1676.9,8555.814245459998,7788,1656.7,1704.6,1679.9,1591.4,1484.0
2023-03-17T00:00:00.0000000Z,2023-03-18T00:00:00.0000000Z,2023-03-17T00:00:50.3340000Z,2023-03-17T23:59:36.0250000Z,1676.9,1803.0,1666.3,1794.4,22246.256367740003,13226,1676.9,1656.7,1704.6,1679.9,1591.4
2023-03-18T00:00:00.0000000Z,2023-03-19T00:00:00.0000000Z,2023-03-18T00:00:03.5310000Z,2023-03-18T23:59:38.6900000Z,1794.1,1846.0,1753.0,1764.1,16624.045970930005,10929,1794.4,1676.9,1656.7,1704.6,1679.9
2023-03-19T00:00:00.0000000Z,2023-03-20T00:00:00.0000000Z,2023-03-19T00:00:49.6050000Z,2023-03-19T23:59:58.7370000Z,1764.9,1846.5,1763.0,1785.9,7671.99263208,7160,1764.1,1794.4,1676.9,1656.7,1704.6
2023-03-20T00:00:00.0000000Z,2023-03-21T00:00:00.0000000Z,2023-03-20T00:00:07.5880000Z,2023-03-20T23:59:31.9480000Z,1786.5,1807.9,1730.0,1738.1,16153.590316089998,14651,1785.9,1764.1,1794.4,1676.9,1656.7
2023-03-21T00:00:00.0000000Z,2023-03-22T00:00:00.0000000Z,2023-03-21T00:00:38.4670000Z,2023-03-21T23:59:55.9460000Z,1738.2,1839.9,1725.0,1806.9,10757.32280316,9600,1738.1,1785.9,1764.1,1794.4,1676.9
2023-03-22T00:00:00.0000000Z,2023-03-23T00:00:00.0000000Z,2023-03-22T00:00:53.3870000Z,2023-03-22T23:59:30.9700000Z,1807.1,1823.2,1715.5,1738.2,11035.50851179,12460,1806.9,1738.1,1785.9,1764.1,1794.4
2023-03-23T00:00:00.0000000Z,2023-03-24T00:00:00.0000000Z,2023-03-23T00:00:43.0930000Z,2023-03-23T23:59:36.9540000Z,1739.1,1859.6,1733.9,1817.2,9418.096482300003,9828,1738.2,1806.9,1738.1,1785.9,1764.1
2023-03-24T00:00:00.0000000Z,2023-03-25T00:00:00.0000000Z,2023-03-24T00:00:12.6030000Z,2023-03-24T23:59:06.9880000Z,1817.4,1822.3,1729.5,1751.7,11501.25750658,11478,1817.2,1738.2,1806.9,1738.1,1785.9
2023-03-25T00:00:00.0000000Z,2023-03-26T00:00:00.0000000Z,2023-03-25T00:01:19.4000000Z,2023-03-25T23:59:28.2770000Z,1752.1,1764.6,1716.6,1744.3,7082.352491040001,8549,1751.7,1817.2,1738.2,1806.9,1738.1
2023-03-26T00:00:00.0000000Z,2023-03-27T00:00:00.0000000Z,2023-03-26T00:00:46.9930000Z,2023-03-26T23:59:59.5390000Z,1743.9,1800.6,1741.5,1775.7,6960.697133440001,7241,1744.3,1751.7,1817.2,1738.2,1806.9
2023-03-27T00:00:00.0000000Z,2023-03-28T00:00:00.0000000Z,2023-03-27T00:00:13.0650000Z,2023-03-27T23:59:58.6900000Z,1775.7,1781.9,1687.8,1716.4,11150.0037723,9585,1775.7,1744.3,1751.7,1817.2,1738.2
2023-03-28T00:00:00.0000000Z,2023-03-29T00:00:00.0000000Z,2023-03-28T00:00:29.2760000Z,2023-03-28T23:59:28.3680000Z,1716.2,1794.8,1703.0,1773.4,13813.31064895,9625,1716.4,1775.7,1744.3,1751.7,1817.2
2023-03-29T00:00:00.0000000Z,2023-03-30T00:00:00.0000000Z,2023-03-29T00:00:21.6940000Z,2023-03-29T23:56:50.4180000Z,1774.6,1827.0,1773.2,1793.2,10939.90665859,8938,1773.4,1716.4,1775.7,1744.3,1751.7
2023-03-30T00:00:00.0000000Z,2023-03-31T00:00:00.0000000Z,2023-03-30T00:00:43.7680000Z,2023-03-30T23:59:51.5980000Z,1793.3,1829.8,1762.5,1794.0,9690.13153255,9040,1793.2,1773.4,1716.4,1775.7,1744.3
2023-03-31T00:00:00.0000000Z,2023-04-01T00:00:00.0000000Z,2023-03-31T00:00:45.7180000Z,2023-03-31T23:58:49.1070000Z,1795.0,1846.8,1780.8,1822.2,14396.300292030002,9255,1794.0,1793.2,1773.4,1716.4,1775.7
2023-04-01T00:00:00.0000000Z,2023-04-02T00:00:00.0000000Z,2023-04-01T00:00:24.2250000Z,2023-04-01T23:59:12.4640000Z,1822.2,1842.2,1809.0,1821.4,2444.58263152,4072,1822.2,1794.0,1793.2,1773.4,1716.4
