time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-05-22T00:00:00.0000000Z,2023-05-23T00:00:00.0000000Z,2023-05-22T00:00:09.7630000Z,2023-05-22T23:59:55.9250000Z,26753,27078,26547,26856,1015.30225454,12833
2023-05-23T00:00:00.0000000Z,2023-05-24T00:00:00.0000000Z,2023-05-23T00:01:26.6320000Z,2023-05-23T23:59:46.4490000Z,26854,27478,26810,27226,1208.2533193900003,12617
2023-05-24T00:00:00.0000000Z,2023-05-25T00:00:00.0000000Z,2023-05-24T00:00:06.3140000Z,2023-05-24T23:59:58.3780000Z,27225,27225,26076,26325,2267.68178789,22181
2023-05-25T00:00:00.0000000Z,2023-05-26T00:00:00.0000000Z,2023-05-25T00:00:07.7310000Z,2023-05-25T23:59:47.0050000Z,26325,26611,25878,26478,1721.0707014399998,16084
2023-05-26T00:00:00.0000000Z,2023-05-27T00:00:00.0000000Z,2023-05-26T00:00:58.1820000Z,2023-05-26T23:59:13.8410000Z,26486,26937,26338,26718,1684.13098506,15437
2023-05-27T00:00:00.0000000Z,2023-05-28T00:00:00.0000000Z,2023-05-27T00:00:02.8890000Z,2023-05-27T23:59:54.6970000Z,26716,26893,26566,26872,636.4638861399999,8578
2023-05-28T00:00:00.0000000Z,2023-05-29T00:00:00.0000000Z,2023-05-28T00:00:06.2130000Z,2023-05-28T23:59:28.3270000Z,26875,28248,26785,28072,1734.0125474999995,15926
2023-05-29T00:00:00.0000000Z,2023-05-30T00:00:00.0000000Z,2023-05-29T00:00:00.7150000Z,2023-05-29T23:59:53.8000000Z,28071,28452,27542,27749,1744.26525928,14825
2023-05-30T00:00:00.0000000Z,2023-05-31T00:00:00.0000000Z,2023-05-30T00:00:07.2040000Z,2023-05-30T23:58:44.2400000Z,27748,28054,27570,27706,1599.8611513300002,14045
2023-05-31T00:00:00.0000000Z,2023-06-01T00:00:00.0000000Z,2023-05-31T00:00:05.2360000Z,2023-05-31T23:59:51.8090000Z,27701,27840,26857,27219,1906.87485106,16815
2023-06-01T00:00:00.0000000Z,2023-06-02T00:00:00.0000000Z,2023-06-01T00:00:02.2020000Z,2023-06-01T23:59:49.0730000Z,27220,27356,26625,26826,2051.41364063,17484
2023-06-02T00:00:00.0000000Z,2023-06-03T00:00:00.0000000Z,2023-06-02T00:00:09.8320000Z,2023-06-02T23:59:38.0380000Z,26821,27300,26520,27251,1676.8757619899998,15585
2023-06-03T00:00:00.0000000Z,2023-06-04T00:00:00.0000000Z,2023-06-03T00:00:32.8770000Z,2023-06-03T23:59:37.2180000Z,27250,27332,26937,27076,800.6779693100001,9145
2023-06-05T00:00:00.0000000Z,2023-06-06T00:00:00.0000000Z,2023-06-05T00:00:27.9630000Z,2023-06-05T23:59:53.0670000Z,27114,27138,25389,25739,3982.61724001,32481
2023-06-06T00:00:00.0000000Z,2023-06-07T00:00:00.0000000Z,2023-06-06T00:00:17.2810000Z,2023-06-06T23:59:58.9390000Z,25730,27357,25350,27236,4170.34784833,26261
2023-06-07T00:00:00.0000000Z,2023-06-08T00:00:00.0000000Z,2023-06-07T00:00:18.3870000Z,2023-06-07T23:59:51.8590000Z,27252,27388,26140,26348,2301.40248723,17758
2023-06-09T00:00:00.0000000Z,2023-06-10T00:00:00.0000000Z,2023-06-09T00:00:41.1270000Z,2023-06-09T23:59:58.3250000Z,26507,26778,26289,26484,1045.4643979,12763
2023-06-10T00:00:00.0000000Z,2023-06-11T00:00:00.0000000Z,2023-06-10T00:00:40.0720000Z,2023-06-10T23:59:49.4790000Z,26486,26528,25420,25857,3150.3295293700003,21931
2023-06-11T00:00:00.0000000Z,2023-06-12T00:00:00.0000000Z,2023-06-11T00:00:04.3560000Z,2023-06-11T23:59:19.9450000Z,25857,26209,25657,25941,1012.14081411,12797
2023-06-12T00:00:00.0000000Z,2023-06-13T00:00:00.0000000Z,2023-06-12T00:00:02.7180000Z,2023-06-12T23:59:52.1590000Z,25940,26103,25634,25906,1775.24929536,15350
2023-06-13T00:00:00.0000000Z,2023-06-14T00:00:00.0000000Z,2023-06-13T00:00:04.4060000Z,2023-06-13T23:59:56.5310000Z,25906,26422,25718,25934,1918.62032223,16522
2023-06-14T00:00:00.0000000Z,2023-06-15T00:00:00.0000000Z,2023-06-14T00:00:18.3320000Z,2023-06-14T23:59:53.2220000Z,25935,26078,24819,25127,2774.25803875,19515
2023-06-15T00:00:00.0000000Z,2023-06-16T00:00:00.0000000Z,2023-06-15T00:00:04.3800000Z,2023-06-15T23:59:35.1670000Z,25125,25729,24756,25573,2952.54402577,23390
2023-06-16T00:00:00.0000000Z,2023-06-17T00:00:00.0000000Z,2023-06-16T00:00:37.9130000Z,2023-06-16T23:59:56.2580000Z,25567,26485,25188,26333,2615.4600232000003,18478
2023-06-17T00:00:00.0000000Z,2023-06-18T00:00:00.0000000Z,2023-06-17T00:00:20.3460000Z,2023-06-17T23:58:22.9090000Z,26333,26785,26173,26507,947.66446932,9717
2023-06-18T00:00:00.0000000Z,2023-06-19T00:00:00.0000000Z,2023-06-18T00:00:21.3000000Z,2023-06-18T23:59:51.2310000Z,26513,26685,26267,26340,1013.62414104,8359
2023-06-19T00:00:00.0000000Z,2023-06-20T00:00:00.0000000Z,2023-06-19T00:00:09.4530000Z,2023-06-19T23:59:29.0330000Z,26336,27050,26260,26842,1859.88986343,16690
2023-06-20T00:00:00.0000000Z,2023-06-21T00:00:00.0000000Z,2023-06-20T00:00:39.0770000Z,2023-06-20T23:59:56.5540000Z,26840,28441,26651,28315,3042.63769046,23930
2023-06-21T00:00:00.0000000Z,2023-06-22T00:00:00.0000000Z,2023-06-21T00:00:05.4470000Z,2023-06-21T23:59:52.3450000Z,28316,30755,28280,30009,6050.711066399999,44113
2023-06-22T00:00:00.0000000Z,2023-06-23T00:00:00.0000000Z,2023-06-22T00:00:15.5570000Z,2023-06-22T23:59:59.5190000Z,30010,30505,29600,29889,3833.36508228,38135
2023-06-23T00:00:00.0000000Z,2023-06-24T00:00:00.0000000Z,2023-06-23T00:00:06.7420000Z,2023-06-23T23:59:58.3960000Z,29891,31458,29820,30716,4491.24960619,31322
2023-06-24T00:00:00.0000000Z,2023-06-25T00:00:00.0000000Z,2023-06-24T00:00:10.1490000Z,2023-06-24T23:59:40.5230000Z,30703,30821,30287,30548,1225.5828181399995,14615
2023-06-25T00:00:00.0000000Z,2023-06-26T00:00:00.0000000Z,2023-06-25T00:00:03.9020000Z,2023-06-25T23:59:49.0830000Z,30550,31047,30295,30477,1506.1550316899998,13768
2023-06-26T00:00:00.0000000Z,2023-06-27T00:00:00.0000000Z,2023-06-26T00:00:25.8720000Z,2023-06-26T23:59:43.7090000Z,30480,30657,29941,30274,2251.75419357,20018
2023-06-27T00:00:00.0000000Z,2023-06-28T00:00:00.0000000Z,2023-06-27T00:00:10.2770000Z,2023-06-27T23:59:44.4950000Z,30278,31025,30235,30696,2110.49986699,17358
2023-06-28T00:00:00.0000000Z,2023-06-29T00:00:00.0000000Z,2023-06-28T00:00:02.6050000Z,2023-06-28T23:58:38.6990000Z,30697,30712,29868,30079,1867.54566498,18813
2023-06-29T00:00:00.0000000Z,2023-06-30T00:00:00.0000000Z,2023-06-29T00:00:09.1210000Z,2023-06-29T23:59:50.6220000Z,30078,30825,30041,30444,1926.30752016,18570
2023-06-30T00:00:00.0000000Z,2023-07-01T00:00:00.0000000Z,2023-06-30T00:00:08.1780000Z,2023-06-30T23:58:52.2930000Z,30445,31268,29508,30469,4954.718438520002,33623
2023-07-01T00:00:00.0000000Z,2023-07-02T00:00:00.0000000Z,2023-07-01T00:00:12.7540000Z,2023-07-01T23:58:46.1090000Z,30469,30647,30321,30592,619.28755236,9012
2023-07-02T00:00:00.0000000Z,2023-07-03T00:00:00.0000000Z,2023-07-02T00:00:00.6100000Z,2023-07-02T23:59:58.6780000Z,30590,30785,30175,30616,1088.4336053599998,12147
2023-07-03T00:00:00.0000000Z,2023-07-04T00:00:00.0000000Z,2023-07-03T00:00:05.0800000Z,2023-07-03T23:59:50.2620000Z,30616,31378,30587,31158,1548.74086164,17144
2023-07-04T00:00:00.0000000Z,2023-07-05T00:00:00.0000000Z,2023-07-04T00:00:20.4570000Z,2023-07-04T23:59:43.4000000Z,31165,31327,30637,30771,865.1314589700002,12224
